iter	Passed	Remaining
0	138	138146
1	139	69442
2	139	46481
3	140	34976
4	141	28081
5	141	23472
6	142	20185
7	143	17737
8	143	15822
9	144	14287
10	144	13034
11	145	11990
12	146	11107
13	146	10350
14	147	9692
15	148	9120
16	148	8609
17	149	8163
18	150	7759
19	150	7395
20	151	7065
21	152	6762
22	152	6488
23	153	6238
24	154	6008
25	154	5792
26	155	5595
27	155	5411
28	156	5241
29	157	5080
30	157	4936
31	158	4796
32	159	4664
33	159	4539
34	160	4421
35	160	4310
36	161	4208
37	162	4109
38	162	4014
39	163	3935
40	164	3849
41	165	3769
42	165	3692
43	166	3617
44	167	3545
45	167	3477
46	168	3409
47	168	3346
48	169	3286
49	169	3228
50	170	3172
51	171	3118
52	171	3066
53	172	3022
54	173	2977
55	174	2933
56	174	2890
57	175	2848
58	176	2807
59	176	2767
60	177	2734
61	178	2697
62	179	2665
63	180	2632
64	180	2599
65	181	2566
66	182	2534
67	182	2503
68	183	2474
69	184	2445
70	184	2415
71	185	2387
72	185	2359
73	186	2331
74	187	2309
75	188	2286
76	188	2262
77	189	2238
78	190	2216
79	190	2195
80	191	2173
81	192	2153
82	192	2128
83	193	2110
84	194	2089
85	194	2070
86	195	2050
87	196	2031
88	196	2012
89	197	1995
90	197	1976
91	198	1958
92	198	1940
93	199	1923
94	200	1907
95	200	1890
96	201	1874
97	202	1860
98	202	1844
99	203	1829
100	203	1814
101	204	1799
102	205	1786
103	205	1772
104	206	1758
105	206	1745
106	207	1732
107	208	1719
108	208	1706
109	209	1693
110	209	1681
111	210	1669
112	211	1656
113	211	1644
114	212	1632
115	212	1620
116	213	1607
117	213	1596
118	214	1584
119	214	1573
120	215	1562
121	215	1551
122	216	1540
123	216	1531
124	217	1521
125	218	1512
126	218	1502
127	219	1493
128	219	1483
129	220	1474
130	220	1464
131	221	1455
132	221	1445
133	222	1436
134	222	1427
135	223	1418
136	223	1409
137	224	1401
138	224	1392
139	225	1384
140	225	1376
141	226	1367
142	226	1359
143	227	1352
144	227	1344
145	228	1336
146	228	1328
147	229	1321
148	230	1313
149	230	1306
150	231	1300
151	232	1294
152	232	1288
153	233	1282
154	234	1275
155	234	1269
156	235	1263
157	235	1257
158	236	1251
159	237	1245
160	237	1238
161	238	1232
162	238	1225
163	239	1219
164	239	1213
165	240	1207
166	240	1201
167	241	1195
168	241	1189
169	242	1183
170	242	1177
171	243	1172
172	243	1166
173	244	1161
174	245	1156
175	246	1152
176	247	1149
177	247	1144
178	248	1140
179	249	1135
180	249	1131
181	250	1126
182	251	1121
183	251	1116
184	252	1112
185	253	1107
186	253	1102
187	254	1097
188	254	1092
189	255	1088
